title,price_gbp,price_inr,rating,in_stock
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,,,4,1
A Year in Provence (Provence #1),,,4,1
"1,000 Places to See Before You Die",,,5,1
Sharp Objects,,,4,1
The Past Never Ends,,,4,1
The Murder of Roger Ackroyd (Hercule Poirot #4),,,4,1
A Time of Torment (Charlie Parker #14),,,5,1
Murder at the 42nd Street Library (Raymond Ambler #1),,,4,1
What Happened on Beale Street (Secrets of the South Mysteries #2),,,5,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),,,5,1
Delivering the Truth (Quaker Midwife Mystery #1),,,4,1
The Mysterious Affair at Styles (Hercule Poirot #1),,,4,1
The Silkworm (Cormoran Strike #2),,,5,1
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),,,4,1
The Girl You Lost,,,5,1
A Flight of Arrows (The Pathfinders #2),,,5,1
Mrs. Houdini,,,5,1
The Marriage of Opposites,,,4,1
A Paris Apartment,,,4,1
World Without End (The Pillars of the Earth #2),,,4,1
The Passion of Dolssa,,,5,1
Voyager (Outlander #3),,,5,1
The Red Tent,,,5,1
Between Shades of Gray,,,5,1
While You Were Mine,,,5,1
Lost Among the Living,,,4,1
A Spy's Devotion (The Regency Spies of London #1),,,5,1
Join,,,5,1
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",,,4,1
Arena,,,4,1
Ready Player One,,,4,1
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),,,4,1
