title,price_gbp,price_inr,rating
It's Only the Himalayas,,,2
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,,,4
See America: A Celebration of Our National Parks & Treasured Sites,,,3
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,,,2
Under the Tuscan Sun,,,3
A Summer In Europe,,,2
The Great Railway Bazaar,,,1
A Year in Provence (Provence #1),,,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),,,1
Neither Here nor There: Travels in Europe,,,3
