title,price_gbp,price_inr,rating,in_stock,category_name
"1,000 Places to See Before You Die",,,5,1,Travel
A Time of Torment (Charlie Parker #14),,,5,1,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),,,5,1,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),,,5,1,Mystery
The Silkworm (Cormoran Strike #2),,,5,1,Mystery
The Girl You Lost,,,5,1,Mystery
A Flight of Arrows (The Pathfinders #2),,,5,1,Historical Fiction
Mrs. Houdini,,,5,1,Historical Fiction
The Passion of Dolssa,,,5,1,Historical Fiction
Voyager (Outlander #3),,,5,1,Historical Fiction
